image_id,magazine_id,image_number,in_out,explicit,symbol,weapon,gruesome,narrative,strength,caption
D2_53,D2,53,0,0,0,1,0,7,2,1
D2_54,D2,54,1,1,0,1,0,7,2,1
D2_55,D2,55,0,1,2,0,0,7,1,1
D2_56,D2,56,0,0,2,1,0,7,2,1
D2_57,D2,57,0,0,2,1,0,7,1,1
D2_58,D2,58,0,0,2,0,0,0,0,1
D2_59,D2,59,0,0,0,0,0,2,1,1
D2_60,D2,60,0,0,0,0,0,2,2,1
D2_61,D2,61,0,0,2,1,0,7,2,1
D2_62,D2,62,0,0,0,1,0,7,2,1
D2_63,D2,63,1,1,0,0,0,7,2,1
D2_64,D2,64,1,0,0,1,0,4,2,1
D2_65,D2,65,0,0,2,1,0,7,1,0
D2_66,D2,66,-99,-99,2,0,0,7,1,0
D2_67,D2,67,1,0,0,1,0,2,2,1
D2_68,D2,68,1,1,0,0,0,4,2,1
D2_69,D2,69,0,0,2,0,0,0,0,0
D2_70,D2,70,0,0,0,1,0,3,2,1
D2_71,D2,71,0,0,0,1,0,7,1,1
D2_72,D2,72,0,0,0,1,0,7,1,0
D2_73,D2,73,0,0,0,1,0,7,1,0
D2_74,D2,74,0,0,2,0,0,3,2,0
D3_1,D3,1,0,0,0,0,0,0,0,0
D3_2,D3,2,0,0,0,0,0,0,0,0
D3_3,D3,3,1,0,0,0,0,0,0,0
D3_4,D3,4,-99,-99,0,0,0,5,1,1
D3_5,D3,5,0,0,8,1,1,4,2,1
D3_6,D3,6,0,0,0,0,0,0,0,0
D3_7,D3,7,0,0,2,1,0,0,0,0
D3_8,D3,8,0,0,2,1,0,7,1,0
D3_9,D3,9,0,0,0,0,0,0,0,0
D3_10,D3,10,-99,-99,5,0,0,0,0,1
D3_11,D3,11,0,1,6,0,0,0,0,0
D3_12,D3,12,0,0,0,1,1,4,2,1
D3_13,D3,13,1,0,0,0,0,4,1,1
D3_14,D3,14,1,0,0,0,0,4,1,1
D3_15,D3,15,1,0,0,1,0,4,1,1
D3_16,D3,16,0,0,0,1,1,4,2,1
D3_17,D3,17,1,0,0,0,0,4,1,1
D3_18,D3,18,1,0,0,0,0,0,0,1
D3_19,D3,19,0,1,1,0,0,7,1,1
D3_20,D3,20,0,0,2,0,0,2,1,1
D3_21,D3,21,0,1,2,0,0,7,1,1
D3_22,D3,22,0,0,2,0,0,2,1,1
D3_23,D3,23,0,0,0,0,0,2,1,1
D3_24,D3,24,0,0,0,0,0,3,1,1
D3_25,D3,25,1,0,0,0,0,4,1,1
D3_26,D3,26,1,0,0,0,0,4,1,1
D3_27,D3,27,-99,-99,0,0,0,2,1,1
D3_28,D3,28,0,0,2,0,0,2,1,1
D3_29,D3,29,1,0,0,0,0,0,0,1
D3_30,D3,30,0,0,0,1,0,7,2,1
D3_31,D3,31,1,0,0,0,1,4,2,1
D3_32,D3,32,0,0,2,0,0,7,2,1
D3_33,D3,33,0,0,0,1,0,7,1,1
D3_34,D3,34,0,0,0,0,0,7,1,1
D3_35,D3,35,0,0,0,1,0,7,2,1
D3_36,D3,36,0,0,0,1,0,7,2,1
D3_37,D3,37,0,0,0,1,0,7,2,1
D3_38,D3,38,1,0,0,0,1,4,2,1
D3_39,D3,39,1,0,0,0,0,7,2,1
D3_40,D3,40,1,0,0,0,0,7,2,1
D3_41,D3,41,0,0,0,1,0,7,2,1
D3_42,D3,42,0,0,0,1,0,7,2,1
D3_43,D3,43,0,0,0,1,1,4,2,1
D3_44,D3,44,0,0,2,1,0,7,2,1
D3_45,D3,45,0,0,0,0,0,0,0,1
D3_46a,D3,46,1,0,0,0,0,4,1,1
D3_46b,D3,47,1,0,0,0,1,4,2,1
D3_46c,D3,48,1,0,0,0,0,4,1,1
D3_47,D3,49,-99,-99,3,0,0,0,0,0
D3_48,D3,50,-99,-99,3,0,0,0,0,0
D3_49,D3,51,-99,-99,0,0,0,0,0,0
D3_50,D3,52,-99,-99,0,0,0,0,0,0
D3_51,D3,53,0,0,0,0,0,0,0,0
D3_52,D3,54,0,0,0,0,0,0,0,0
D3_53,D3,55,1,0,0,0,0,0,0,0
D3_54,D3,56,0,0,2,0,0,0,0,0
D3_55,D3,57,0,0,0,0,0,0,0,0
D3_56,D3,58,0,1,4,0,0,0,0,1
D3_57,D3,59,0,0,2,0,0,0,0,0
D3_58,D3,60,1,0,0,0,0,0,0,0
D3_59,D3,61,1,0,0,0,0,8,1,0
D3_60,D3,62,1,0,0,0,0,0,0,1
D3_61,D3,63,1,0,8,0,0,0,0,1
D3_62,D3,64,1,0,0,0,0,0,0,0
D3_63,D3,65,1,0,0,0,0,0,0,0
D3_64,D3,66,1,0,8,0,0,0,0,0
D3_65,D3,67,0,0,0,0,0,0,0,0
D4_1,D4,1,0,1,2,0,0,7,1,0
D4_2,D4,2,0,0,0,0,0,0,0,0
D4_3,D4,3,0,0,0,0,0,3,1,0
D4_4,D4,4,0,1,5,0,0,0,0,0
D4_5,D4,5,0,0,2,1,0,7,1,0
D4_6,D4,6,0,0,2,1,0,0,0,0
D4_7,D4,7,0,0,0,1,0,4,1,1
D4_8,D4,8,1,0,0,1,0,5,1,0
D4_9,D4,9,1,0,0,0,0,6,1,0
D4_10,D4,10,1,0,0,0,0,8,1,0
D4_11,D4,11,1,0,0,1,0,8,1,0
D4_12,D4,12,1,0,0,0,0,0,0,1
D4_13,D4,13,0,0,0,1,0,7,1,0
D4_14,D4,14,-99,-99,0,1,0,7,1,0
D4_15,D4,15,-99,-99,0,1,0,7,1,0
D4_16,D4,16,-99,-99,0,1,0,7,1,0
