"image","magazine_id","time","image_number","in_out","explicit","symbol","weapon","gruesome","narrative","strength","caption","outgroup","ingroup","crisis","solution","jihad","utopia","punish","unity","outplot","sinful","victim","occupy"
"D1_57","D1",1,59,0,0,0,1,0,4,2,1,0,1,0,1,0,0,1,0,0,0,0,0
"D1_58","D1",1,60,0,0,0,1,0,4,2,1,0,1,0,1,0,0,1,0,0,0,0,0
"D1_59","D1",1,61,1,0,0,0,0,7,2,1,1,0,0,1,1,0,0,0,0,0,0,0
"D1_60","D1",1,62,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"D1_61","D1",1,63,0,0,2,1,0,7,2,1,0,1,0,1,1,0,0,0,0,0,0,0
"D1_62","D1",1,64,0,0,0,1,0,7,1,0,0,1,0,1,1,0,0,0,0,0,0,0
"D1_63","D1",1,65,0,0,2,0,0,3,1,0,0,1,0,1,0,0,0,1,0,0,0,0
"D1_64","D1",1,66,0,0,0,0,0,2,1,0,0,1,0,1,0,1,0,0,0,0,0,0
"D1_65","D1",1,67,0,0,2,0,0,3,2,0,0,1,0,1,0,0,0,1,0,0,0,0
"D1_66","D1",1,68,0,0,7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"D2_1","D2",2,1,-99,-99,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D2_2","D2",2,2,0,0,2,0,0,3,0,0,0,1,0,1,0,0,0,1,0,0,0,0
"D2_3","D2",2,3,0,0,0,0,0,3,2,0,0,1,0,1,0,0,0,1,0,0,0,0
"D2_4","D2",2,4,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"D2_5","D2",2,5,-99,-99,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D2_6","D2",2,6,-99,-99,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D2_7","D2",2,7,0,1,5,1,0,2,1,0,0,1,0,1,0,1,0,0,0,0,0,0
"D2_8","D2",2,8,-99,-99,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D2_9","D2",2,9,0,0,5,0,0,2,2,0,0,1,0,1,0,1,0,0,0,0,0,0
"D2_10","D2",2,10,0,0,2,1,0,3,1,0,0,1,0,1,0,0,0,1,0,0,0,0
"D2_11","D2",2,11,0,0,0,1,0,7,1,0,0,1,0,1,1,0,0,0,0,0,0,0
"D2_12","D2",2,12,1,0,0,0,1,4,2,1,1,0,0,1,0,0,1,0,0,0,0,0
"D2_13","D2",2,13,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"D2_14","D2",2,14,-99,-99,0,1,0,7,1,1,0,0,0,1,1,0,0,0,0,0,0,0
"D2_15","D2",2,15,0,1,0,1,0,7,1,1,0,1,0,1,1,0,0,0,0,0,0,0
"D2_16","D2",2,16,0,1,0,1,0,7,1,1,0,1,0,1,1,0,0,0,0,0,0,0
"D2_17","D2",2,17,1,1,5,0,0,2,1,1,1,0,0,1,0,1,0,0,0,0,0,0
"D2_18","D2",2,18,1,1,5,0,0,2,1,1,1,0,0,1,0,1,0,0,0,0,0,0
"D2_19","D2",2,19,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"D2_20","D2",2,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"D2_21","D2",2,21,0,0,0,0,0,2,2,1,0,1,0,1,0,1,0,0,0,0,0,0
"D2_22","D2",2,22,0,0,0,0,0,2,1,0,0,1,0,1,0,1,0,0,0,0,0,0
"D2_23","D2",2,23,0,0,5,0,0,2,1,1,0,1,0,1,0,1,0,0,0,0,0,0
"D2_24","D2",2,24,0,0,5,0,0,2,1,0,0,1,0,1,0,1,0,0,0,0,0,0
"D2_25","D2",2,25,1,1,5,0,0,2,1,1,1,0,0,1,0,1,0,0,0,0,0,0
"D2_26","D2",2,26,1,1,5,0,0,2,1,1,1,0,0,1,0,1,0,0,0,0,0,0
"D2_27","D2",2,27,1,1,5,0,0,2,1,1,1,0,0,1,0,1,0,0,0,0,0,0
"D2_28","D2",2,28,1,1,5,0,0,2,1,1,1,0,0,1,0,1,0,0,0,0,0,0
"D2_29","D2",2,29,1,0,0,1,0,8,2,0,1,0,1,0,0,0,0,0,0,0,0,1
"D2_30","D2",2,30,0,0,0,1,0,7,1,0,0,1,0,1,1,0,0,0,0,0,0,0
"D2_31","D2",2,31,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"D2_32","D2",2,32,0,0,0,0,1,7,2,0,0,1,0,1,1,0,0,0,0,0,0,0
"D2_33","D2",2,33,0,0,0,1,0,7,0,1,0,1,0,1,1,0,0,0,0,0,0,0
"D2_34","D2",2,34,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"D2_35","D2",2,35,1,0,0,0,0,6,1,1,1,0,1,0,0,0,0,0,1,0,0,0
"D2_36","D2",2,36,1,0,0,0,0,6,1,1,1,0,1,0,0,0,0,0,1,0,0,0
"D2_37","D2",2,37,0,0,2,1,0,3,1,0,0,1,0,1,0,0,0,1,0,0,0,0
"D2_38","D2",2,38,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"D2_39","D2",2,39,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"D2_40","D2",2,40,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"D2_41","D2",2,41,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"D2_42","D2",2,42,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"D2_43","D2",2,43,1,0,2,0,0,4,2,1,1,0,0,1,0,0,1,0,0,0,0,0
"D2_44","D2",2,44,-99,-99,0,1,0,2,2,1,0,0,0,1,0,1,0,0,0,0,0,0
"D2_45","D2",2,45,1,0,2,1,0,4,2,1,1,0,0,1,0,0,1,0,0,0,0,0
"D2_46","D2",2,46,1,0,0,0,1,4,2,1,1,0,0,1,0,0,1,0,0,0,0,0
"D2_47","D2",2,47,0,0,0,0,0,2,2,1,0,1,0,1,0,1,0,0,0,0,0,0
"D2_48","D2",2,48,0,0,2,0,0,2,1,1,0,1,0,1,0,1,0,0,0,0,0,0
"D2_49","D2",2,49,0,0,0,0,0,2,2,1,0,1,0,1,0,1,0,0,0,0,0,0
"D2_50","D2",2,50,0,0,2,0,0,2,1,1,0,1,0,1,0,1,0,0,0,0,0,0
"D2_51","D2",2,51,0,0,0,0,0,4,2,1,0,1,0,1,0,0,1,0,0,0,0,0
"D2_52","D2",2,52,0,0,0,1,0,4,2,1,0,1,0,1,0,0,1,0,0,0,0,0
"D2_53","D2",2,53,0,0,0,1,0,7,2,1,0,1,0,1,1,0,0,0,0,0,0,0
"D2_54","D2",2,54,1,1,0,1,0,7,2,1,1,0,0,1,1,0,0,0,0,0,0,0
"D2_55","D2",2,55,0,1,2,0,0,7,1,1,0,1,0,1,1,0,0,0,0,0,0,0
"D2_56","D2",2,56,0,0,2,1,0,7,2,1,0,1,0,1,1,0,0,0,0,0,0,0
"D2_57","D2",2,57,0,0,2,1,0,7,1,1,0,1,0,1,1,0,0,0,0,0,0,0
